Date,Open,High,Low,Close,Volume
2021-07-21,34556.96,34820.24,34556.96,34798,358437114
2021-07-22,34799.68,34879.28,34673.03,34823.35,322395128
2021-07-23,34855.11,35095.33,34855.11,35061.55,342258461
2021-07-26,35055.86,35150.37,34950.19,35144.31,304893565
2021-07-27,35078.9,35078.9,34878.07,35058.52,389294787
2021-07-28,35109.95,35116.37,34876.84,34930.93,422819077
2021-07-29,34985.99,35171.52,34985.99,35084.53,272323432
2021-07-30,35013.26,35106.3,34871.13,34935.47,331053467
2021-08-02,34968.56,35192.11,34808.2,34838.16,305922456
2021-08-03,34864.1,35120.94,34714.33,35116.4,321747859
2021-08-04,35047.44,35047.44,34790.62,34792.67,304763354
2021-08-05,34815.61,35067.54,34815.61,35064.25,250096562
2021-08-06,35077.44,35246.79,35077.44,35208.51,265239473
2021-08-09,35229.67,35229.67,35041.24,35101.85,255720128
2021-08-10,35135.17,35285.16,35091.91,35264.67,346841540
2021-08-11,35300.89,35501.16,35300.89,35484.97,298517045
2021-08-12,35481.94,35510.77,35352.53,35499.85,280298152
2021-08-13,35551.56,35610.57,35474.78,35515.38,288326642
2021-08-16,35490.83,35631.19,35231.87,35625.4,349796750
2021-08-17,35500.01,35500.01,35120.31,35343.28,391894892
2021-08-18,35310.2,35356.8,34943.41,34960.69,398037893
2021-08-19,34874.67,34997.81,34690.25,34894.12,419682645
2021-08-20,34917.96,35177.26,34867.07,35120.08,319308648
2021-08-23,35160.97,35428.91,35160.97,35335.71,353201188
2021-08-24,35382.72,35445.47,35356.18,35366.26,296274532
2021-08-25,35388.77,35501.14,35287.63,35405.5,295938944
2021-08-26,35449.68,35498.45,35205.1,35213.12,261134341
2021-08-27,35231.11,35479.18,35231.11,35455.8,282439352
2021-08-30,35471.8,35510.71,35374.46,35399.84,281273389
2021-08-31,35391.38,35449.79,35289.86,35360.73,395191509
2021-09-01,35387.55,35407.37,35287.05,35312.53,314713523
2021-09-02,35353.06,35475.4,35348.48,35443.82,310395463
